,start,stop,strand,gene_name,length,operon,cog
b0001,189,255,+,thrL,66,thrLABC,No COG Annotation
b0002,336,2799,+,thrA,2463,thrLABC,Amino acid transport and metabolism
b0003,2800,3733,+,thrB,933,thrLABC,Amino acid transport and metabolism
b0004,3733,5020,+,thrC,1287,thrLABC,Amino acid transport and metabolism
b0005,5233,5530,+,yaaX,297,yaaX,Function unknown
b0006,5682,6459,-,yaaA,777,yaaA,Function unknown
b0007,6528,7959,-,yaaJ,1431,yaaJ,Amino acid transport and metabolism
b0008,8237,9191,+,talB,954,talB,Carbohydrate transport and metabolism
b0009,9305,9893,+,mog,588,mog,Coenzyme transport and metabolism
b0010,9927,10494,-,satP,567,satP,Function unknown
b0011,10642,11356,-,yaaW,714,yaaW,Function unknown
b0013,11381,11786,-,yaaI,405,yaaI,Function unknown
b0014,12162,14079,+,dnaK,1917,dnaK-tpke11-dnaJ,"Posttranslational modification, protein turnover, chaperones"
b0015,14167,15298,+,dnaJ,1131,dnaK-tpke11-dnaJ,"Posttranslational modification, protein turnover, chaperones"
b0016,15444,16557,+,insL1,1113,insL-1,"Replication, recombination and repair"
b0018,16750,16960,-,mokC,210,mokC-hokC,Function unknown
b4412,16750,16903,-,hokC,153,mokC-hokC,No COG Annotation
b0019,17488,18655,+,nhaA,1167,nhaAR,Inorganic ion transport and metabolism
b0020,18714,19620,+,nhaR,906,nhaAR,Transcription
b0021,19810,20314,-,insB1,504,insAB-1A-1B-1,"Replication, recombination and repair"
b0022,20232,20508,-,insA,276,insAB-1A-1B-1,"Replication, recombination and repair"
b0023,20814,21078,-,rpsT,264,rpsT,"Translation, ribosomal structure and biogenesis"
b0024,21180,21399,+,yaaY,219,yaaY,Function unknown
b0025,21406,22348,+,ribF,942,ribF-ileS-lspA-fkpB-ispH,Coenzyme transport and metabolism
b0026,22390,25207,+,ileS,2817,ribF-ileS-lspA-fkpB-ispH,"Translation, ribosomal structure and biogenesis"
b0027,25206,25701,+,lspA,495,ribF-ileS-lspA-fkpB-ispH,Cell wall/membrane/envelope biogenesis
b0028,25825,26275,+,fkpB,450,ribF-ileS-lspA-fkpB-ispH,"Posttranslational modification, protein turnover, chaperones"
b0029,26276,27227,+,ispH,951,ribF-ileS-lspA-fkpB-ispH,Lipid transport and metabolism
b0030,27292,28207,+,rihC,915,rihC,Nucleotide transport and metabolism
b0031,28373,29195,+,dapB,822,dapB,Amino acid transport and metabolism
b0032,29650,30799,+,carA,1149,carAB,Nucleotide transport and metabolism
b0033,30816,34038,+,carB,3222,carAB,Nucleotide transport and metabolism
b0034,34299,34695,+,caiF,396,caiF,Transcription
b0035,34780,35371,-,caiE,591,caiTABCDE,Function unknown
b0036,35376,36162,-,caiD,786,caiTABCDE,Lipid transport and metabolism
b0037,36270,37824,-,caiC,1554,caiTABCDE,Lipid transport and metabolism
b0038,37897,39115,-,caiB,1218,caiTABCDE,Energy production and conversion
b0039,39243,40386,-,caiA,1143,caiTABCDE,Lipid transport and metabolism
b0040,40416,41931,-,caiT,1515,caiTABCDE,Inorganic ion transport and metabolism
